name,status,ID
DIDI FOOD,activa,4f0270bb-13a6-4b89-a21a-72594f4b85c5
RAPPI PRIME,activa,bff71639-ccf3-4c37-b455-0477b815f418
BLIM,activa,5f19b43c-3a93-4277-8a8c-8ac47614ecfd
RAPPI,activa,5f5a52e7-be01-4038-a011-88322f77a5b8
GOOGLE CLOUD,activa,3dd3c8e1-c13f-4a0c-a0c7-4fb6a69ec409
STARBUCKS,activa,7630e13f-6e45-49d4-b058-875fea404249
TELCEL,activa,f70d22c2-e7b5-4fdd-9a3b-e572cda432df
NETFLIX,activa,40e51879-3274-4c78-8d71-dd88db3083c7
AMAZON,activa,c84dd8f5-e874-4aca-8251-c4a5d699ef8e
CFE,activa,de3630d5-8a9b-4aa0-ab06-297698d3b7b9
AMAZON PRIME,activa,77adfe31-b4e7-4c11-b8d2-6b6d099088e7
MERCADO PAGO,activa,02629b24-9752-4113-89f3-ef59e6e52c63
UBER EATS,activa,cb62e5dd-b748-4e2e-a9bb-cff6b56c3ed6
SPOTIFY,activa,9b476882-5146-4e2e-9211-69b615a52331
OMGYES,activa,c0b91ffe-efa8-4955-8f2a-2f55f4a20598
HEADSPACE,activa,b0efd877-68d7-4517-a643-b5c44a7f81c7
UBER,activa,7496c5ff-10b1-412b-87b5-27fa682e9786
AUDIBLE,activa,6209b714-1093-45f6-a95d-db4469527298
YOUTUBE PREMIUM,activa,7bca53bd-aa95-4d51-97b1-8129a63cd347
FPAY,activa,ffeecb67-b91d-4d95-a8a2-751ae37822bd
VERIFICACION KS,activa,fc083b6c-004f-47aa-8660-ff22e6d00496
PEDIDOSYA,activa,187e9d41-a2e5-43d7-b4e3-74d8725202a0
DLOCAL,activa,9a8f4591-94f8-46a6-a2fe-964a24501757
STAPLES,activa,6eff2585-be27-42b8-bf34-6c0eec769142
HBO MAX,activa,942457e7-1f4f-4dcd-8e50-6c47c408d36b
CABIFY,activa,507492e8-0653-4024-8a43-f174d09db77c
MICROSOFT STORE,activa,ec1b1068-d20c-4858-8be0-e43088497544
TELMEX,activa,d6658137-f109-425e-80a3-55f2f48b8151
D-LOCAL,activa,34dce221-4c67-4e74-8987-61dc91948bd6
PLERK,activa,6d43fb6c-6474-410b-ada2-5028c4ea980d
REVOLUT,activa,7047a68d-2912-4abc-b400-0b2652d99e06
PADDLE,activa,3a77b38e-03b7-4380-8965-4af13fa5d080
IZZI INTERNET,activa,d3f25ce7-8fe2-49e8-bbf4-60ba8b2a18d4
TINDER,activa,eccacc0c-b801-4495-ac02-e2053016f91d
MERCADO LIBRE,activa,35b658ee-b2f8-4747-a3cf-97a0c7198ac1
KUSHKI,activa,7f4ca0cd-b02b-4e9d-bdd6-ca04872ecd44
ALIEXPRESS,activa,8521818d-6e95-4ff2-b94f-58a15bfdeef3
PARAMOUNT+,activa,025a98fd-d666-4e9f-a876-a12d7318b17b
PLAYSTATION NETWORK,activa,ba565cbd-d47d-4a2c-9790-4e6455958d6a
ZWIFT,activa,b7b16a7a-d218-4736-beb7-8b5d3fe3088a
DOMINO'S PIZZA,activa,d37a7e24-a54d-44dd-85fe-3a851ee66162
